OID,COUNT,FOR_TEN,FOR_CATEGO,FOREST,STATE,FOR_BURNS,FOR_BURN_T
34766,31,PRIV,Native forest,1,Vic,1,Unplanned burns only
34771,1,NCR,Native forest,1,Vic,1,Planned burns only
34780,10,NCR,Native forest,1,Vic,1,Planned burns only
34806,258,NCR,Native forest,1,Vic,0,Forest not burnt
34810,531,MUF,Native forest,1,Vic,1,Planned burns only
34811,137,MUF,Native forest,1,Vic,1,Planned burns only
34813,39,MUF,Native forest,1,Vic,1,Planned burns only
34814,5,MUF,Native forest,1,Vic,1,Planned burns only
34815,1,NCR,Native forest,1,Vic,1,Planned burns only
34816,2,MUF,Native forest,1,Vic,1,Planned burns only
34818,229,MUF,Native forest,1,Vic,1,Planned burns only
34820,19,MUF,Native forest,1,Vic,1,Planned burns only
34823,2,MUF,Native forest,1,Vic,2,Planned burns only
34825,85, ,Non-forest,0,Vic,-9, 
34836,4,PRIV,Native forest,1,Vic,1,Planned burns only
34838,1,PRIV,Native forest,1,Vic,1,Planned burns only
34844,1,NCR,Native forest,1,Vic,1,Planned burns only
34846,15,NCR,Native forest,1,Vic,2,Planned burns only
34861,394,MUF,Native forest,1,Vic,1,Planned burns only
34862,1,MUF,Native forest,1,Vic,1,Planned burns only
34868,135,NCR,Native forest,1,Vic,1,Planned burns only
34869,15,OCL,Native forest,1,Vic,1,Planned burns only
34873,5,NCR,Other forest,1,Vic,0,Forest not burnt
34882,2136, ,Non-forest,0,Vic,-9, 
34886,145,MUF,Other forest,1,Vic,0,Forest not burnt
34887,2,PRIV,Native forest,1,Vic,1,Unplanned burns only
34889,1,PRIV,Native forest,1,Vic,1,Unplanned burns only
34905,2795,PRIV,Other forest,1,Vic,0,Forest not burnt
34912,736771,MUF,Native forest,1,Vic,0,Forest not burnt
34915,489607,MUF,Native forest,1,Vic,0,Forest not burnt
34924,25839,MUF,Native forest,1,Vic,0,Forest not burnt
34928,126094,NCR,Native forest,1,Vic,0,Forest not burnt
34930,351,MUF,Native forest,1,Vic,1,Planned burns only
34935,173,MUF,Native forest,1,Vic,1,Planned burns only
34936,5257,PRIV,Native forest,1,Vic,0,Forest not burnt
34938,2,MUF,Native forest,1,Vic,1,Planned burns only
34941,7914, ,Non-forest,0,Vic,-9, 
34942,166,MUF,Native forest,1,Vic,1,Planned burns only
34944,28,MUF,Native forest,1,Vic,1,Planned burns only
34945,27,MUF,Native forest,1,Vic,1,Planned burns only
34947,6,MUF,Native forest,1,Vic,1,Planned burns only
34948,1,MUF,Native forest,1,Vic,1,Planned burns only
34949,139,MUF,Native forest,1,Vic,1,Planned burns only
34951,208,MUF,Native forest,1,Vic,1,Planned burns only
34952,283, ,Non-forest,0,Vic,-9, 
34956,3,MUF,Native forest,1,Vic,1,Planned burns only
34957,113,PRIV,Native forest,1,Vic,1,Unplanned burns only
34958,3,PRIV,Native forest,1,Vic,1,Unplanned burns only
34960,84,MUF,Native forest,1,Vic,1,Planned burns only
34973,1019,NCR,Native forest,1,Vic,1,Planned burns only
34974,30,NCR,Native forest,1,Vic,1,Unplanned burns only
34981,41,NCR,Native forest,1,Vic,1,Unplanned burns only
34982,843,NCR,Native forest,1,Vic,1,Unplanned burns only
34986,27,NCR,Native forest,1,Vic,1,Unplanned burns only
34991,1,NCR,Native forest,1,Vic,1,Unplanned burns only
35010,1756,NCR,Native forest,1,Vic,0,Forest not burnt
35011,8,NCR,Native forest,1,Vic,0,Forest not burnt
35013,52,NCR,Native forest,1,Vic,2,Planned burns only
35014,329,NCR,Native forest,1,Vic,1,Planned burns only
35018,25,NCR,Native forest,1,Vic,2,Planned burns only
35053,155,NCR,Native forest,1,Vic,1,Planned burns only
35058,1180,NCR,Native forest,1,Vic,1,Planned burns only
35061,42, ,Non-forest,0,Vic,-9, 
35062,1,PRIV,Native forest,1,Vic,1,Planned burns only
35070,14,MUF,Other forest,1,Vic,0,Forest not burnt
35079,18,PRIV,Native forest,1,Vic,1,Unplanned burns only
35080,1,NCR,Native forest,1,Vic,2,Planned burns only
35082,1562,NCR,Native forest,1,Vic,1,Unplanned burns only
35083,16, ,Non-forest,0,Vic,-9, 
35084,599,NCR,Native forest,1,Vic,1,Planned burns only
35086,205,NCR,Native forest,1,Vic,1,Unplanned burns only
35087,1875, ,Non-forest,0,Vic,-9, 
35088,502,NCR,Native forest,1,Vic,1,Planned burns only
35089,1,NCR,Native forest,1,Vic,2,Planned burns only
35090,353,NCR,Native forest,1,Vic,1,Planned burns only
35091,35,PRIV,Native forest,1,Vic,1,Planned burns only
35092,200, ,Non-forest,0,Vic,-9, 
35093,71,NCR,Native forest,1,Vic,1,Planned burns only
35095,70, ,Non-forest,0,Vic,-9, 
35097,3,NCR,Native forest,1,Vic,2,Planned burns only
35107,341,OCL,Other forest,1,Vic,0,Forest not burnt
35111,39,OCL,Native forest,1,Vic,0,Forest not burnt
35113,123,MUF,Native forest,1,Vic,0,Forest not burnt
35115,15,LEASE,Native forest,1,Vic,0,Forest not burnt
35116,6,LEASE,Native forest,1,Vic,0,Forest not burnt
35117,9,PRIV,Native forest,1,Vic,1,Unplanned burns only
35118,5,PRIV,Native forest,1,Vic,1,Unplanned burns only
35121,1,LEASE,Native forest,1,Vic,0,Forest not burnt
35122,1,LEASE,Other forest,1,Vic,0,Forest not burnt
35130,58,NCR,Native forest,1,Vic,2,Planned burns only
35132,322,NCR,Native forest,1,Vic,1,Unplanned burns only
35134,840,NCR,Native forest,1,Vic,1,Unplanned burns only
35144,79,NCR,Native forest,1,Vic,1,Unplanned burns only
35150,118,MUF,Native forest,1,Vic,1,Unplanned burns only
35151,56,MUF,Native forest,1,Vic,1,Unplanned burns only
35155,9,MUF,Native forest,1,Vic,1,Unplanned burns only
35161,37,NCR,Native forest,1,Vic,1,Unplanned burns only
35162,593,MUF,Native forest,1,Vic,1,Unplanned burns only
35163,4939, ,Non-forest,0,Vic,-9, 
35165,31, ,Non-forest,0,Vic,-9, 
35166,367,MUF,Native forest,1,Vic,0,Forest not burnt
35167,535,MUF,Native forest,1,Vic,1,Unplanned burns only
35169,44,MUF,Native forest,1,Vic,1,Unplanned burns only
35170,6,MUF,Native forest,1,Vic,1,Unplanned burns only
35171,2805,MUF,Native forest,1,Vic,0,Forest not burnt
35179,2106,NCR,Native forest,1,Vic,1,Unplanned burns only
35187,2,NCR,Native forest,1,Vic,1,Unplanned burns only
35213,6110, ,Non-forest,0,Vic,-9, 
35219,6,NCR,Native forest,1,Vic,1,Planned burns only
35230,7,MUF,Native forest,1,Vic,1,Unplanned burns only
35247,2,PRIV,Native forest,1,Vic,1,Unplanned burns only
35248,4,PRIV,Native forest,1,Vic,1,Unplanned burns only
35250,521,PRIV,Native forest,1,Vic,0,Forest not burnt
35251,125,PRIV,Native forest,1,Vic,0,Forest not burnt
35252,10,MUF,Native forest,1,Vic,1,Planned burns only
35258,229, ,Non-forest,0,Vic,-9, 
35261,260, ,Non-forest,0,Vic,-9, 
35262,197, ,Non-forest,0,Vic,-9, 
35265,369, ,Non-forest,0,Vic,-9, 
35267,11,MUF,Native forest,1,Vic,1,Planned burns only
35277,17306,MUF,Native forest,1,Vic,1,Unplanned burns only
35280,1,PRIV,Native forest,1,Vic,1,Planned burns only
35294,120,MUF,Other forest,1,Vic,0,Forest not burnt
35296,522,PRIV,Native forest,1,Vic,1,Planned burns only
35297,190,OCL,Native forest,1,Vic,1,Planned burns only
35298,91,NCR,Native forest,1,Vic,1,Planned burns only
35300,74, ,Non-forest,0,Vic,-9, 
35311,21,OCL,Native forest,1,Vic,0,Forest not burnt
35318,146,OCL,Native forest,1,Vic,0,Forest not burnt
35325,743,MUF,Native forest,1,Vic,1,Planned burns only
35326,350,MUF,Native forest,1,Vic,1,Planned burns only
35327,25,PRIV,Native forest,1,Vic,1,Planned burns only
35335,28,PRIV,Other forest,1,Vic,0,Forest not burnt
35374,4,MUF,Native forest,1,Vic,1,Planned burns only
35376,148, ,Non-forest,0,Vic,-9, 
35379,31,MUF,Native forest,1,Vic,1,Planned burns only
35380,1,MUF,Native forest,1,Vic,1,Planned burns only
35381,169,MUF,Native forest,1,Vic,1,Planned burns only
35382,1380,PRIV,Native forest,1,Vic,1,Unplanned burns only
35383,17348, ,Non-forest,0,Vic,-9, 
35390,25,MUF,Native forest,1,Vic,1,Planned burns only
35395,3,PRIV,Native forest,1,Vic,1,Planned burns only
35396,9,PRIV,Native forest,1,Vic,1,Planned burns only
35397,37,PRIV,Native forest,1,Vic,1,Planned burns only
35398,2,PRIV,Native forest,1,Vic,1,Unplanned burns only
35407,17,PRIV,Native forest,1,Vic,1,Unplanned burns only
35408,5,PRIV,Native forest,1,Vic,1,Unplanned burns only
35412,2,NCR,Native forest,1,Vic,0,Forest not burnt
35418,13584,PRIV,Native forest,1,Vic,0,Forest not burnt
35419,77,NCR,Native forest,1,Vic,1,Planned burns only
35423,11,NCR,Native forest,1,Vic,1,Unplanned burns only
35427,2072,NCR,Native forest,1,Vic,1,Unplanned burns only
35431,1218,NCR,Native forest,1,Vic,1,Planned burns only
35432,9715,NCR,Native forest,1,Vic,1,Planned burns only
35434,233,NCR,Native forest,1,Vic,1,Planned burns only
35438,20707,MUF,Native forest,1,Vic,1,Planned burns only
35439,3823,NCR,Native forest,1,Vic,1,Planned burns only
35444,1351,NCR,Native forest,1,Vic,1,Planned burns only
35445,7920,NCR,Native forest,1,Vic,1,Planned burns only
35448,533,NCR,Native forest,1,Vic,1,Planned burns only
35453,4576,NCR,Native forest,1,Vic,1,Planned burns only
35454,140,NCR,Native forest,1,Vic,1,Planned burns only
35455,14,NCR,Native forest,1,Vic,1,Planned burns only
35456,1,NCR,Native forest,1,Vic,1,Planned burns only
35458,51,NCR,Native forest,1,Vic,1,Planned burns only
35459,4458,NCR,Native forest,1,Vic,1,Planned burns only
35460,11,PRIV,Native forest,1,Vic,1,Unplanned burns only
35461,95,NCR,Native forest,1,Vic,1,Planned burns only
35462,2186,NCR,Native forest,1,Vic,1,Planned burns only
35463,127,NCR,Native forest,1,Vic,1,Planned burns only
35464,14,PRIV,Native forest,1,Vic,1,Planned burns only
35466,2,NCR,Native forest,1,Vic,1,Unplanned burns only
35467,817,NCR,Native forest,1,Vic,1,Unplanned burns only
35468,4,NCR,Native forest,1,Vic,1,Unplanned burns only
35469,153584,PRIV,Commercial plantation,1,Vic,0,Forest not burnt
35474,22, ,Non-forest,0,Vic,-9, 
35475,6,PRIV,Native forest,1,Vic,0,Forest not burnt
35477,2, ,Non-forest,0,Vic,-9, 
35478,1,OCL,Native forest,1,Vic,2,Planned and Unplanned burns
35479,18,NCR,Native forest,1,Vic,1,Planned burns only
35482,1,NCR,Native forest,1,Vic,2,Planned burns only
35484,139,NCR,Native forest,1,Vic,1,Planned burns only
35489,36, ,Non-forest,0,Vic,-9, 
35490,748,PRIV,Native forest,1,Vic,0,Forest not burnt
35492,1,PRIV,Native forest,1,Vic,0,Forest not burnt
35493,4,PRIV,Native forest,1,Vic,1,Unplanned burns only
35494,944,NCR,Native forest,1,Vic,1,Unplanned burns only
35495,50, ,Non-forest,0,Vic,-9, 
35496,3,PRIV,Native forest,1,Vic,1,Unplanned burns only
35497,30, ,Non-forest,0,Vic,-9, 
35498,2, ,Non-forest,0,Vic,-9, 
35499,4, ,Non-forest,0,Vic,-9, 
35501,13, ,Non-forest,0,Vic,-9, 
35502,10,NCR,Native forest,1,Vic,2,Planned burns only
35503,2,PRIV,Native forest,1,Vic,2,Planned burns only
35504,20688,NCR,Native forest,1,Vic,1,Unplanned burns only
35505,4, ,Non-forest,0,Vic,-9, 
35506,4,OCL,Native forest,1,Vic,1,Unplanned burns only
35507,1,OCL,Native forest,1,Vic,1,Unplanned burns only
35508,23,PRIV,Native forest,1,Vic,0,Forest not burnt
35516,2160,NCR,Native forest,1,Vic,0,Forest not burnt
35519,2863,NCR,Native forest,1,Vic,0,Forest not burnt
35520,808,NCR,Commercial plantation,1,Vic,0,Forest not burnt
35523,133,NCR,Native forest,1,Vic,1,Unplanned burns only
35524,1046,PRIV,Native forest,1,Vic,0,Forest not burnt
35525,1,OCL,Native forest,1,Vic,1,Unplanned burns only
35527,1633,PRIV,Native forest,1,Vic,0,Forest not burnt
35529,574,NCR,Native forest,1,Vic,1,Unplanned burns only
35530,14737,PRIV,Native forest,1,Vic,1,Unplanned burns only
35532,326,OCL,Commercial plantation,1,Vic,0,Forest not burnt
35533,174,PRIV,Native forest,1,Vic,1,Planned burns only
35534,6019,NCR,Native forest,1,Vic,1,Planned burns only
35535,146,PRIV,Native forest,1,Vic,1,Planned burns only
35536,1,PRIV,Native forest,1,Vic,1,Unplanned burns only
35537,345,PRIV,Native forest,1,Vic,1,Unplanned burns only
35538,1,MUF,Native forest,1,Vic,1,Unplanned burns only
35539,24961,MUF,Native forest,1,Vic,1,Unplanned burns only
35540,2,PRIV,Native forest,1,Vic,1,Unplanned burns only
35541,61414,MUF,Native forest,1,Vic,1,Unplanned burns only
35542,603,PRIV,Native forest,1,Vic,1,Unplanned burns only
35543,246,PRIV,Native forest,1,Vic,1,Unplanned burns only
35544,29237,PRIV,Native forest,1,Vic,1,Unplanned burns only
35545,105, ,Non-forest,0,Vic,-9, 
35546,313753,MUF,Native forest,1,Vic,1,Unplanned burns only
35547,234421,MUF,Native forest,1,Vic,1,Unplanned burns only
35548,304,MUF,Native forest,1,Vic,1,Unplanned burns only
35549,3,PRIV,Native forest,1,Vic,1,Unplanned burns only
35550,6290,MUF,Other forest,1,Vic,0,Forest not burnt
35551,2,OCL,Native forest,1,Vic,2,Planned burns only
35552,193,NCR,Native forest,1,Vic,1,Planned burns only
35553,3394,PRIV,Native forest,1,Vic,1,Unplanned burns only
35555,28,PRIV,Native forest,1,Vic,1,Planned burns only
35556,25329,NCR,Native forest,1,Vic,1,Unplanned burns only
35557,48,PRIV,Native forest,1,Vic,0,Forest not burnt
35558,145,PRIV,Other forest,1,Vic,1,Unplanned burns only
35559,368, ,Non-forest,0,Vic,-9, 
35560,1081,OCL,Native forest,1,Vic,1,Unplanned burns only
35561,381,OCL,Native forest,1,Vic,1,Unplanned burns only
35564,2248,NCR,Native forest,1,Vic,0,Forest not burnt
35565,889,OCL,Native forest,1,Vic,1,Unplanned burns only
35566,43,OCL,Native forest,1,Vic,1,Unplanned burns only
35567,103,OCL,Native forest,1,Vic,1,Unplanned burns only
35568,12564,NCR,Native forest,1,Vic,0,Forest not burnt
35569,528,PRIV,Native forest,1,Vic,0,Forest not burnt
35570,802,NCR,Native forest,1,Vic,1,Planned burns only
35571,17,PRIV,Native forest,1,Vic,1,Planned burns only
35572,47,NCR,Native forest,1,Vic,1,Planned burns only
35573,1,PRIV,Other forest,1,Vic,1,Planned burns only
35574,1,PRIV,Native forest,1,Vic,1,Planned burns only
35575,42,PRIV,Native forest,1,Vic,1,Planned burns only
35576,1,PRIV,Other forest,1,Vic,1,Planned burns only
35577,8,PRIV,Native forest,1,Vic,1,Planned burns only
35578,1,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
35580,5,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
35581,5,PRIV,Native forest,1,Vic,1,Unplanned burns only
35582,116,NCR,Native forest,1,Vic,1,Planned burns only
35583,78,NCR,Native forest,1,Vic,1,Planned burns only
35584,3,PRIV,Native forest,1,Vic,1,Planned burns only
35585,4,PRIV,Native forest,1,Vic,1,Planned burns only
35586,3,PRIV,Native forest,1,Vic,1,Planned burns only
35588,156,PRIV,Native forest,1,Vic,0,Forest not burnt
35589,99,PRIV,Native forest,1,Vic,1,Unplanned burns only
35590,57,PRIV,Native forest,1,Vic,1,Unplanned burns only
35591,2,PRIV,Native forest,1,Vic,1,Unplanned burns only
35592,1, ,Non-forest,0,Vic,-9, 
35593,2,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
35594,4,PRIV,Native forest,1,Vic,1,Planned burns only
35595,1,PRIV,Native forest,1,Vic,1,Unplanned burns only
35596,766,OCL,Native forest,1,Vic,0,Forest not burnt
35597,57,PRIV,Native forest,1,Vic,2,Unplanned burns only
35598,3,NCR,Native forest,1,Vic,2,Planned burns only
35599,2556,PRIV,Commercial plantation,1,Vic,1,Unplanned burns only
35600,201048,NCR,Native forest,1,Vic,1,Unplanned burns only
35601,66,NCR,Native forest,1,Vic,2,Planned burns only
35602,30,OCL,Native forest,1,Vic,0,Forest not burnt
35603,6,PRIV,Native forest,1,Vic,2,Unplanned burns only
35604,1,PRIV,Native forest,1,Vic,1,Planned burns only
35605,164,NCR,Native forest,1,Vic,1,Unplanned burns only
35606,8,NCR,Native forest,1,Vic,0,Forest not burnt
35607,9, ,Non-forest,0,Vic,-9, 
35609,1,NCR,Native forest,1,Vic,2,Planned burns only
35610,61,NCR,Native forest,1,Vic,2,Planned burns only
35611,24875,NCR,Native forest,1,Vic,1,Unplanned burns only
35612,33,PRIV,Other forest,1,Vic,1,Unplanned burns only
35613,202,NCR,Native forest,1,Vic,1,Unplanned burns only
35614,9, ,Non-forest,0,Vic,-9, 
35615,621,PRIV,Native forest,1,Vic,1,Planned burns only
35616,92,PRIV,Native forest,1,Vic,1,Planned burns only
35617,5,OCL,Native forest,1,Vic,0,Forest not burnt
35618,8571,MUF,Native forest,1,Vic,1,Planned burns only
35619,1,PRIV,Native forest,1,Vic,1,Unplanned burns only
35620,36557,NCR,Native forest,1,Vic,1,Unplanned burns only
35621,16,PRIV,Native forest,1,Vic,0,Forest not burnt
35622,1997,MUF,Native forest,1,Vic,1,Planned burns only
35623,2193,MUF,Native forest,1,Vic,1,Planned burns only
35625,29,PRIV,Native forest,1,Vic,1,Planned burns only
35626,16,MUF,Native forest,1,Vic,1,Planned burns only
35627,6,OCL,Native forest,1,Vic,1,Unplanned burns only
35628,42,PRIV,Native forest,1,Vic,2,Unplanned burns only
35629,4,PRIV,Native forest,1,Vic,2,Unplanned burns only
35630,240, ,Non-forest,0,Vic,-9, 
35632,11938,MUF,Native forest,1,Vic,1,Planned burns only
35633,4,PRIV,Native forest,1,Vic,2,Unplanned burns only
35634,44,PRIV,Native forest,1,Vic,2,Unplanned burns only
35635,94,NCR,Native forest,1,Vic,2,Planned burns only
35636,104381,MUF,Commercial plantation,1,Vic,0,Forest not burnt
35638,238,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
35639,33,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
35640,2,NCR,Native forest,1,Vic,3,Planned burns only
35641,24, ,Non-forest,0,Vic,-9, 
35642,5,PRIV,Native forest,1,Vic,1,Planned burns only
35643,178, ,Non-forest,0,Vic,-9, 
35644,1370,MUF,Other forest,1,Vic,0,Forest not burnt
35645,7,PRIV,Native forest,1,Vic,1,Planned burns only
35648,197,OCL,Native forest,1,Vic,1,Planned burns only
35649,122,PRIV,Native forest,1,Vic,1,Unplanned burns only
35650,1596,OCL,Commercial plantation,1,Vic,0,Forest not burnt
35651,4560,MUF,Native forest,1,Vic,1,Planned burns only
35652,21429,MUF,Native forest,1,Vic,0,Forest not burnt
35653,1378,MUF,Native forest,1,Vic,1,Planned burns only
35654,8,NCR,Native forest,1,Vic,1,Unplanned burns only
35655,772,MUF,Native forest,1,Vic,1,Planned burns only
35656,11,PRIV,Native forest,1,Vic,1,Unplanned burns only
35657,116564,PRIV,Commercial plantation,1,Vic,0,Forest not burnt
35658,1,NCR,Native forest,1,Vic,2,Planned burns only
35659,11,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
35660,9450,MUF,Native forest,1,Vic,1,Planned burns only
35661,1045,PRIV,Native forest,1,Vic,1,Unplanned burns only
35662,1,MUF,Commercial plantation,1,Vic,1,Planned burns only
35663,5800,MUF,Commercial plantation,1,Vic,1,Unplanned burns only
35664,309,MUF,Native forest,1,Vic,2,Planned and Unplanned burns
35665,95,PRIV,Other forest,1,Vic,1,Unplanned burns only
35666,3,NCR,Other forest,1,Vic,1,Unplanned burns only
35667,1,OCL,Native forest,1,Vic,2,Planned burns only
35668,108,MUF,Native forest,1,Vic,1,Unplanned burns only
35669,49,MUF,Other forest,1,Vic,1,Unplanned burns only
35670,218,MUF,Other forest,1,Vic,1,Unplanned burns only
35671,6,MUF,Native forest,1,Vic,0,Forest not burnt
35672,3,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
35673,32,MUF,Native forest,1,Vic,1,Unplanned burns only
35674,4,PRIV,Native forest,1,Vic,1,Planned burns only
35675,8,MUF,Other forest,1,Vic,1,Unplanned burns only
35676,68,NCR,Native forest,1,Vic,1,Unplanned burns only
35677,664,PRIV,Native forest,1,Vic,1,Planned burns only
35678,2,PRIV,Native forest,1,Vic,2,Planned burns only
35679,6906,MUF,Native forest,1,Vic,1,Planned burns only
35680,257,PRIV,Native forest,1,Vic,1,Planned burns only
35681,67205,NCR,Native forest,1,Vic,1,Unplanned burns only
35682,194,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
35685,124,PRIV,Native forest,1,Vic,1,Planned burns only
35686,2955,NCR,Native forest,1,Vic,1,Planned burns only
35687,23,MUF,Native forest,1,Vic,1,Planned burns only
35688,5,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
35689,3,NCR,Native forest,1,Vic,1,Planned burns only
35690,57,NCR,Native forest,1,Vic,1,Unplanned burns only
35691,245,MUF,Native forest,1,Vic,2,Planned and Unplanned burns
35692,288,MUF,Native forest,1,Vic,2,Planned and Unplanned burns
35693,4762,NCR,Native forest,1,Vic,1,Planned burns only
35694,1517,MUF,Native forest,1,Vic,2,Planned and Unplanned burns
35695,1369,MUF,Native forest,1,Vic,2,Planned and Unplanned burns
35696,6, ,Non-forest,0,Vic,-9, 
35697,2,PRIV,Native forest,1,Vic,2,Planned burns only
35698,67,PRIV,Native forest,1,Vic,2,Planned and Unplanned burns
35699,832,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
35701,23,MUF,Native forest,1,Vic,1,Planned burns only
35702,369,NCR,Commercial plantation,1,Vic,0,Forest not burnt
35703,1,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
35704,1,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
35705,1,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
35706,4,PRIV,Native forest,1,Vic,1,Unplanned burns only
35707,180,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
35708,59802,NCR,Native forest,1,Vic,1,Unplanned burns only
35709,2,NCR,Commercial plantation,1,Vic,1,Unplanned burns only
35710,87,OCL,Native forest,1,Vic,1,Planned burns only
35713,150,OCL,Native forest,1,Vic,1,Planned burns only
35714,21,OCL,Native forest,1,Vic,1,Planned burns only
35715,2,NCR,Native forest,1,Vic,0,Forest not burnt
35716,5,NCR,Native forest,1,Vic,1,Unplanned burns only
35717,1098,PRIV,Commercial plantation,1,Vic,1,Unplanned burns only
35718,151,NCR,Native forest,1,Vic,1,Unplanned burns only
35720,1, ,Non-forest,0,Vic,-9, 
35721,10,MUF,Other forest,1,Vic,1,Planned burns only
35722,223, ,Non-forest,0,Vic,-9, 
35728,39,PRIV,Native forest,1,Vic,1,Planned burns only
35729,10789,MUF,Native forest,1,Vic,1,Planned burns only
35730,1,LEASE,Native forest,1,Vic,1,Unplanned burns only
35731,26,PRIV,Native forest,1,Vic,1,Planned burns only
35732,1,NCR,Commercial plantation,1,Vic,0,Forest not burnt
35733,373,PRIV,Commercial plantation,1,Vic,0,Forest not burnt
35734,4,MUF,Native forest,1,Vic,1,Planned burns only
35735,10,MUF,Native forest,1,Vic,1,Planned burns only
35736,4,MUF,Other forest,1,Vic,1,Planned burns only
35737,6633,MUF,Native forest,1,Vic,1,Planned burns only
35738,1,MUF,Native forest,1,Vic,1,Planned burns only
35739,31,NCR,Native forest,1,Vic,1,Planned burns only
35740,35816,MUF,Native forest,1,Vic,1,Unplanned burns only
35741,1,OCL,Native forest,1,Vic,1,Unplanned burns only
35742,760,PRIV,Native forest,1,Vic,1,Planned burns only
35744,69,MUF,Native forest,1,Vic,1,Planned burns only
35745,27,PRIV,Native forest,1,Vic,1,Planned burns only
35746,119,OCL,Native forest,1,Vic,0,Forest not burnt
35747,3084,MUF,Native forest,1,Vic,1,Planned burns only
35748,2388,MUF,Native forest,1,Vic,1,Planned burns only
35749,68, ,Non-forest,0,Vic,-9, 
35750,2665,PRIV,Native forest,1,Vic,1,Unplanned burns only
35751,2,MUF,Commercial plantation,1,Vic,1,Planned burns only
35752,7,LEASE,Native forest,1,Vic,0,Forest not burnt
35753,18,OCL,Native forest,1,Vic,0,Forest not burnt
35754,15,NCR,Native forest,1,Vic,1,Planned burns only
35755,4,NCR,Native forest,1,Vic,1,Planned burns only
35756,1,MUF,Native forest,1,Vic,0,Forest not burnt
35757,1,PRIV,Other forest,1,Vic,1,Planned burns only
35758,42,PRIV,Other forest,1,Vic,1,Unplanned burns only
35759,5,NCR,Native forest,1,Vic,1,Planned burns only
35760,381,OCL,Native forest,1,Vic,1,Unplanned burns only
35761,3,NCR,Native forest,1,Vic,1,Planned burns only
35762,1,NCR,Native forest,1,Vic,0,Forest not burnt
35763,1,NCR,Native forest,1,Vic,0,Forest not burnt
35764,1, ,Non-forest,0,Vic,-9, 
35765,25,PRIV,Native forest,1,Vic,2,Planned and Unplanned burns
35766,78,NCR,Native forest,1,Vic,2,Planned burns only
35767,115,OCL,Native forest,1,Vic,1,Planned burns only
35768,87, ,Non-forest,0,Vic,-9, 
35769,1106,MUF,Native forest,1,Vic,0,Forest not burnt
35770,583,MUF,Native forest,1,Vic,0,Forest not burnt
35771,47, ,Non-forest,0,Vic,-9, 
35772,16,OCL,Native forest,1,Vic,1,Planned burns only
35773,34, ,Non-forest,0,Vic,-9, 
35774,4, ,Non-forest,0,Vic,-9, 
35775,107, ,Non-forest,0,Vic,-9, 
35776,2,OCL,Other forest,1,Vic,1,Unplanned burns only
35777,31,OCL,Commercial plantation,1,Vic,1,Unplanned burns only
35778,2514,MUF,Native forest,1,Vic,2,Planned and Unplanned burns
35779,15,MUF,Native forest,1,Vic,1,Planned burns only
35780,145,PRIV,Native forest,1,Vic,2,Planned and Unplanned burns
35781,23,OCL,Native forest,1,Vic,1,Planned burns only
35782,3,PRIV,Native forest,1,Vic,1,Planned burns only
35783,26,OCL,Native forest,1,Vic,1,Planned burns only
35784,1,PRIV,Native forest,1,Vic,1,Planned burns only
35785,2,OCL,Native forest,1,Vic,1,Planned burns only
35786,9,MUF,Other forest,1,Vic,1,Planned burns only
35787,3,MUF,Native forest,1,Vic,1,Planned burns only
35788,1,MUF,Other forest,1,Vic,1,Planned burns only
35789,8,MUF,Other forest,1,Vic,1,Planned burns only
35790,223,PRIV,Native forest,1,Vic,0,Forest not burnt
35791,538,MUF,Native forest,1,Vic,1,Planned burns only
35792,3977,MUF,Native forest,1,Vic,1,Planned burns only
35793,7,OCL,Native forest,1,Vic,1,Planned burns only
35794,184,NCR,Native forest,1,Vic,1,Planned burns only
35795,2645,MUF,Native forest,1,Vic,1,Planned burns only
35796,370,MUF,Native forest,1,Vic,1,Planned burns only
35797,725,NCR,Native forest,1,Vic,1,Planned burns only
35798,84,NCR,Native forest,1,Vic,1,Planned burns only
35799,48,OCL,Native forest,1,Vic,1,Planned burns only
35800,1697,NCR,Native forest,1,Vic,1,Unplanned burns only
35801,22,PRIV,Native forest,1,Vic,1,Planned burns only
35802,637,PRIV,Native forest,1,Vic,1,Unplanned burns only
35803,5,MUF,Native forest,1,Vic,1,Planned burns only
35804,22, ,Non-forest,0,Vic,-9, 
35805,186,NCR,Native forest,1,Vic,1,Planned burns only
35806,4068,MUF,Native forest,1,Vic,0,Forest not burnt
35807,40,MUF,Native forest,1,Vic,1,Unplanned burns only
35808,158, ,Non-forest,0,Vic,-9, 
35809,19,OCL,Native forest,1,Vic,0,Forest not burnt
