OID,COUNT,FOR_TEN,FOR_CATEGO,FOREST,STATE,FOR_BURNS,FOR_BURN_T
36655,45,MUF,Native forest,1,Vic,2,Planned and Unplanned burns
36656,12,MUF,Native forest,1,Vic,2,Planned and Unplanned burns
36657,11,MUF,Native forest,1,Vic,2,Planned and Unplanned burns
36658,9,MUF,Native forest,1,Vic,2,Planned and Unplanned burns
36659,5,NCR,Native forest,1,Vic,1,Unplanned burns only
36660,801,NCR,Native forest,1,Vic,1,Unplanned burns only
36661,9, ,Non-forest,0,Vic,-9, 
36662,6,PRIV,Native forest,1,Vic,1,Unplanned burns only
36663,6,MUF,Native forest,1,Vic,2,Planned and Unplanned burns
36664,1,OCL,Native forest,1,Vic,1,Unplanned burns only
36665,20,MUF,Native forest,1,Vic,1,Unplanned burns only
36666,15,MUF,Native forest,1,Vic,1,Unplanned burns only
36667,6,NCR,Native forest,1,Vic,1,Unplanned burns only
36668,5,PRIV,Native forest,1,Vic,2,Planned burns only
36669,11,OCL,Native forest,1,Vic,2,Planned burns only
36670,92,PRIV,Native forest,1,Vic,1,Unplanned burns only
36671,6,MUF,Native forest,1,Vic,1,Unplanned burns only
36672,82,PRIV,Native forest,1,Vic,0,Forest not burnt
36673,25,OCL,Native forest,1,Vic,0,Forest not burnt
36674,1,MUF,Native forest,1,Vic,1,Unplanned burns only
36675,1,MUF,Native forest,1,Vic,1,Unplanned burns only
36676,1,MUF,Native forest,1,Vic,0,Forest not burnt
36677,78,PRIV,Native forest,1,Vic,0,Forest not burnt
36678,15,MUF,Native forest,1,Vic,1,Unplanned burns only
36679,9,OCL,Native forest,1,Vic,1,Unplanned burns only
36680,7,MUF,Native forest,1,Vic,2,Planned burns only
36681,5,MUF,Native forest,1,Vic,3,Planned and Unplanned burns
36682,1,MUF,Native forest,1,Vic,3,Planned and Unplanned burns
36683,168,NCR,Native forest,1,Vic,0,Forest not burnt
36684,3,MUF,Native forest,1,Vic,1,Unplanned burns only
36685,722,NCR,Native forest,1,Vic,2,Unplanned burns only
36686,2,PRIV,Native forest,1,Vic,1,Unplanned burns only
36687,1,PRIV,Native forest,1,Vic,1,Unplanned burns only
36688,4,MUF,Native forest,1,Vic,3,Planned and Unplanned burns
36689,2,OCL,Native forest,1,Vic,1,Unplanned burns only
36690,94,NCR,Native forest,1,Vic,0,Forest not burnt
36691,1, ,Non-forest,0,Vic,-9, 
36692,5,OCL,Native forest,1,Vic,1,Planned burns only
36693,3,NCR,Native forest,1,Vic,1,Planned burns only
36694,1,MUF,Native forest,1,Vic,1,Planned burns only
36695,1, ,Non-forest,0,Vic,-9, 
36696,40,PRIV,Native forest,1,Vic,0,Forest not burnt
36697,54,PRIV,Native forest,1,Vic,1,Unplanned burns only
36698,783,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
36699,1,NCR,Native forest,1,Vic,1,Planned burns only
36700,133, ,Non-forest,0,Vic,-9, 
36701,3, ,Non-forest,0,Vic,-9, 
36702,1,PRIV,Native forest,1,Vic,1,Planned burns only
36703,1,NCR,Native forest,1,Vic,2,Planned burns only
36704,1,PRIV,Native forest,1,Vic,2,Unplanned burns only
36705,23,OCL,Native forest,1,Vic,1,Planned burns only
36706,1,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
36707,4,NCR,Native forest,1,Vic,2,Unplanned burns only
36708,1,NCR,Native forest,1,Vic,2,Unplanned burns only
36709,2,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
36710,1,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
36711,2, ,Non-forest,0,Vic,-9, 
36712,3,PRIV,Other forest,1,Vic,1,Unplanned burns only
36713,56,NCR,Native forest,1,Vic,0,Forest not burnt
36714,948,NCR,Native forest,1,Vic,0,Forest not burnt
